Pos,Wd_state,Time,Day
maison saint agne,0,09:03,1
RSWL,1,09:14,0
golf,1,17:03,4
RSWL,1,17:01,2
maison cote pavee,1,09:39,1
maison st cyp,1,18:09,6
maison saint agne,1,17:06,1
maison cote pavee,1,17:04,2
RSWL,1,09:49,5
maison st cyp,1,17:06,6
golf,1,17:30,2
RSWL,1,17:27,2
maison saint agne,1,17:08,3
RSWL,0,10:08,2
maison saint agne,1,09:13,6
maison saint agne,1,17:24,0
maison saint agne,0,09:01,4
RSWL,1,09:31,1
maison cote pavee,1,17:37,3
maison st cyp,1,17:44,2
RSWL,1,17:14,0
maison cote pavee,0,09:13,4
RSWL,0,17:41,1
maison saint agne,1,17:14,4
maison st cyp,1,17:38,4
maison cote pavee,0,18:05,6
maison cote pavee,1,17:27,3
maison st cyp,0,18:02,0
maison st cyp,1,09:03,3
RSWL,1,17:17,0
RSWL,1,17:32,0
maison st cyp,1,17:00,2
RSWL,1,09:10,2
RSWL,1,09:14,6
maison saint agne,1,09:15,2
RSWL,1,09:37,3
maison saint agne,1,17:17,6
RSWL,1,09:44,2
RSWL,1,17:07,4
maison saint agne,0,09:07,3
maison cote pavee,1,09:51,6
maison st cyp,0,09:34,6
maison saint agne,1,09:45,3
RSWL,1,18:01,6
RSWL,1,09:37,6
maison saint agne,1,09:32,5
maison saint agne,1,09:35,1
maison saint agne,1,17:42,6
RSWL,0,17:08,4
maison st cyp,1,09:28,4
RSWL,1,09:21,4
maison st cyp,1,10:02,0
maison saint agne,1,17:51,4
RSWL,0,18:08,4
RSWL,1,09:28,2
maison st cyp,1,17:39,3
maison saint agne,1,17:38,3
RSWL,1,09:30,5
maison st cyp,1,17:44,3
RSWL,1,17:11,2
maison saint agne,1,09:42,2
maison st cyp,1,17:52,2
maison st cyp,1,18:01,6
maison st cyp,1,09:54,0
RSWL,1,18:01,2
maison st cyp,1,09:21,3
maison st cyp,0,17:38,3
maison st cyp,1,17:52,3
maison st cyp,1,17:14,3
RSWL,1,17:39,0
maison saint agne,1,09:00,3
RSWL,1,09:38,1
maison cote pavee,1,17:00,5
maison cote pavee,1,09:56,0
maison saint agne,1,09:30,6
maison saint agne,1,09:28,5
maison cote pavee,0,09:18,2
maison saint agne,0,09:25,6
maison cote pavee,1,09:44,4
maison cote pavee,0,17:18,4
maison cote pavee,0,17:52,3
RSWL,1,18:02,4
RSWL,0,09:11,6
RSWL,1,09:56,5
maison cote pavee,1,17:39,6
maison cote pavee,1,17:48,4
maison saint agne,1,17:52,3
maison st cyp,1,17:45,4
maison saint agne,1,09:03,1
RSWL,1,09:00,3
maison st cyp,1,09:03,1
RSWL,1,09:42,1
RSWL,1,09:58,3
maison saint agne,1,18:06,0
RSWL,1,18:05,2
RSWL,1,10:06,4
maison st cyp,1,09:20,3
RSWL,0,17:54,4
RSWL,1,09:45,4
RSWL,1,17:00,2
