Pos,Wd_state,Time
maison saint agne,0,9.492857142857144
maison saint agne,1,9.070408163265306
maison cote pavee,0,17.844897959183672
maison st cyp,1,10.056122448979592
maison cote pavee,0,9.32857142857143
golf,0,9.751020408163265
maison cote pavee,1,10.15
maison st cyp,1,9.727551020408164
RSWL,1,9.539795918367346
RSWL,0,17.023469387755103
maison cote pavee,1,17.46938775510204
RSWL,1,9.610204081632654
maison saint agne,1,17.305102040816326
maison cote pavee,0,18.126530612244895
RSWL,0,9.0
maison saint agne,0,17.070408163265306
maison st cyp,0,17.070408163265306
maison cote pavee,1,18.05612244897959
maison st cyp,0,9.23469387755102
maison st cyp,0,17.11734693877551
maison saint agne,1,18.009183673469387
RSWL,1,18.009183673469387
maison st cyp,0,10.126530612244899
maison cote pavee,0,18.03265306122449
maison saint agne,1,9.58673469387755
golf,0,9.093877551020409
maison cote pavee,1,9.633673469387755
RSWL,1,18.103061224489796
maison cote pavee,0,10.103061224489796
golf,0,17.445918367346938
maison cote pavee,0,18.15
RSWL,0,9.023469387755101
RSWL,1,9.985714285714286
maison st cyp,0,9.774489795918367
maison saint agne,1,9.093877551020409
maison cote pavee,1,18.009183673469387
RSWL,1,9.258163265306123
RSWL,0,9.79795918367347
maison saint agne,1,17.070408163265306
maison st cyp,1,17.91530612244898
RSWL,1,9.868367346938776
RSWL,1,9.985714285714286
RSWL,1,10.15
RSWL,0,9.962244897959184
maison cote pavee,1,9.751020408163265
maison saint agne,1,9.211224489795919
golf,1,9.398979591836735
maison cote pavee,0,18.009183673469387
RSWL,0,10.126530612244899
maison cote pavee,1,10.056122448979592
RSWL,0,17.844897959183672
maison st cyp,0,17.56326530612245
RSWL,1,18.05612244897959
golf,1,9.891836734693879
RSWL,0,17.046938775510203
maison saint agne,1,17.375510204081632
maison st cyp,1,17.633673469387755
maison st cyp,0,17.774489795918367
maison saint agne,1,18.03265306122449
RSWL,1,9.516326530612245
golf,1,9.32857142857143
RSWL,0,9.305102040816326
RSWL,1,17.11734693877551
maison cote pavee,0,9.938775510204081
RSWL,1,17.657142857142855
maison saint agne,1,17.58673469387755
maison saint agne,0,18.009183673469387
maison saint agne,1,17.774489795918367
RSWL,1,18.079591836734693
maison cote pavee,1,10.056122448979592
maison cote pavee,0,17.891836734693875
maison cote pavee,0,9.79795918367347
RSWL,1,9.258163265306123
maison st cyp,0,17.11734693877551
maison cote pavee,0,17.868367346938776
maison saint agne,1,17.891836734693875
maison st cyp,0,9.657142857142857
RSWL,1,9.56326530612245
maison cote pavee,1,17.398979591836735
RSWL,0,9.164285714285715
RSWL,1,17.82142857142857
maison saint agne,1,9.938775510204081
maison saint agne,1,17.187755102040818
RSWL,0,17.375510204081632
maison cote pavee,1,10.126530612244899
maison cote pavee,1,9.891836734693879
maison saint agne,0,17.79795918367347
RSWL,1,18.103061224489796
RSWL,0,9.844897959183674
RSWL,0,9.751020408163265
RSWL,1,17.305102040816326
maison st cyp,1,9.046938775510204
maison cote pavee,0,17.070408163265306
maison cote pavee,0,17.516326530612243
maison cote pavee,0,9.938775510204081
RSWL,1,17.657142857142855
RSWL,1,9.985714285714286
maison saint agne,1,10.009183673469387
maison cote pavee,0,9.633673469387755
RSWL,1,17.11734693877551
