Pos,Wd_state,Time,Day
maison cote pavee,0,09:52,1
maison cote pavee,1,18:06,0
maison st cyp,1,17:17,4
RSWL,1,17:27,2
RSWL,1,10:05,1
maison cote pavee,1,09:52,6
maison saint agne,1,17:39,1
maison cote pavee,1,09:20,2
maison st cyp,1,09:59,5
RSWL,1,17:38,6
maison st cyp,1,09:52,2
maison cote pavee,1,17:58,2
maison st cyp,1,09:08,3
maison saint agne,0,09:04,2
RSWL,1,09:51,6
RSWL,1,10:01,0
maison cote pavee,0,17:35,4
maison st cyp,1,17:01,1
RSWL,1,17:48,3
RSWL,1,17:38,2
maison st cyp,1,09:18,0
RSWL,0,09:58,4
RSWL,0,09:28,1
golf,1,17:27,4
maison saint agne,1,10:02,4
maison saint agne,0,17:51,6
RSWL,1,09:59,3
golf,0,09:24,0
RSWL,1,10:08,3
RSWL,1,09:15,0
maison st cyp,1,17:10,0
maison cote pavee,1,09:45,2
maison cote pavee,1,17:52,2
golf,1,09:25,6
maison saint agne,1,10:05,2
maison cote pavee,1,17:35,3
maison st cyp,1,17:08,6
RSWL,1,09:25,2
golf,1,17:08,4
maison saint agne,0,09:32,3
maison saint agne,1,17:20,6
maison cote pavee,0,17:38,6
maison saint agne,1,18:06,3
maison cote pavee,1,17:45,6
RSWL,1,09:58,6
maison saint agne,1,17:48,5
maison saint agne,1,09:54,1
maison st cyp,1,17:55,6
maison st cyp,0,10:05,4
golf,1,17:52,4
maison st cyp,1,17:14,4
maison saint agne,1,10:02,0
RSWL,1,17:11,4
RSWL,0,09:08,4
maison st cyp,1,17:27,2
maison st cyp,1,18:02,3
RSWL,1,09:08,3
maison cote pavee,1,17:13,5
RSWL,1,17:15,3
maison cote pavee,1,17:44,2
RSWL,1,17:08,2
maison st cyp,1,10:02,2
maison cote pavee,1,09:34,6
RSWL,1,17:27,0
maison cote pavee,1,09:37,2
maison saint agne,1,09:54,3
golf,0,17:30,3
golf,1,09:10,3
maison saint agne,1,09:01,3
maison cote pavee,1,17:44,0
maison saint agne,1,18:01,3
maison cote pavee,1,09:58,1
RSWL,1,17:55,5
RSWL,1,09:13,0
maison saint agne,1,17:39,6
RSWL,1,10:03,5
maison saint agne,0,09:18,2
RSWL,0,17:59,6
RSWL,1,17:21,4
maison st cyp,0,09:20,4
RSWL,0,09:25,3
maison st cyp,1,09:20,4
maison saint agne,0,18:08,6
RSWL,1,09:11,5
maison st cyp,1,17:31,6
maison saint agne,1,17:39,4
RSWL,1,17:32,3
maison st cyp,1,17:11,4
RSWL,1,10:05,1
maison st cyp,1,09:03,3
maison st cyp,1,09:52,1
maison cote pavee,1,09:24,1
maison cote pavee,1,09:55,3
maison saint agne,1,09:17,0
maison saint agne,1,17:34,2
RSWL,1,17:56,4
maison cote pavee,1,17:23,3
RSWL,0,17:10,4
golf,1,09:17,4
maison st cyp,1,09:27,2
