Pos,Wd_state,Time,Day
maison saint agne,0,17.0,0
RSWL,0,9.164285714285715,0
RSWL,0,9.258163265306123,2
golf,1,9.492857142857144,6
maison st cyp,1,9.32857142857143,1
maison saint agne,1,9.398979591836735,4
maison cote pavee,0,17.09387755102041,5
maison cote pavee,0,9.774489795918367,2
maison st cyp,0,9.516326530612245,1
RSWL,1,18.009183673469387,1
maison st cyp,1,9.0,6
maison st cyp,0,17.023469387755103,5
RSWL,0,17.0,2
maison st cyp,1,17.281632653061223,0
maison st cyp,1,17.046938775510203,1
RSWL,0,9.375510204081634,6
maison saint agne,1,9.774489795918367,2
maison st cyp,0,18.15,6
golf,0,9.070408163265306,4
maison cote pavee,0,10.079591836734695,6
RSWL,1,9.751020408163265,6
RSWL,0,9.821428571428571,1
maison st cyp,1,9.046938775510204,2
RSWL,0,9.398979591836735,5
RSWL,0,17.774489795918367,2
maison saint agne,0,17.539795918367346,0
RSWL,0,9.11734693877551,2
maison st cyp,0,10.15,5
RSWL,1,9.398979591836735,2
RSWL,0,9.46938775510204,4
maison st cyp,0,17.32857142857143,1
maison cote pavee,0,9.985714285714286,2
maison saint agne,1,17.844897959183672,0
maison saint agne,0,17.422448979591834,4
maison saint agne,0,18.03265306122449,4
RSWL,0,17.680612244897958,5
maison saint agne,0,9.938775510204081,0
RSWL,0,17.96224489795918,4
maison st cyp,0,9.492857142857144,0
maison cote pavee,0,9.58673469387755,4
maison saint agne,0,17.79795918367347,0
RSWL,0,9.258163265306123,4
maison saint agne,0,17.774489795918367,1
maison cote pavee,1,17.14081632653061,5
maison st cyp,1,9.774489795918367,6
RSWL,1,17.164285714285715,4
maison cote pavee,1,17.727551020408164,0
maison st cyp,0,18.079591836734693,2
maison saint agne,0,17.96224489795918,3
RSWL,1,9.32857142857143,0
golf,1,17.09387755102041,2
maison saint agne,0,17.868367346938776,2
maison saint agne,1,17.891836734693875,5
RSWL,1,17.46938775510204,2
RSWL,0,17.891836734693875,2
RSWL,0,9.727551020408164,0
RSWL,0,17.09387755102041,1
RSWL,1,9.422448979591836,4
RSWL,1,17.258163265306123,0
RSWL,1,17.422448979591834,4
maison st cyp,1,17.35204081632653,2
maison cote pavee,0,10.056122448979592,1
maison cote pavee,1,9.704081632653061,4
maison cote pavee,1,9.375510204081634,3
maison cote pavee,0,9.56326530612245,0
maison cote pavee,0,17.375510204081632,5
RSWL,1,17.844897959183672,2
RSWL,0,17.492857142857144,4
maison saint agne,1,9.44591836734694,1
RSWL,0,9.938775510204081,1
maison st cyp,1,9.516326530612245,6
maison cote pavee,1,17.657142857142855,0
maison cote pavee,0,10.056122448979592,3
RSWL,0,18.009183673469387,4
RSWL,0,9.774489795918367,1
maison saint agne,0,17.633673469387755,6
RSWL,1,17.985714285714284,5
maison st cyp,1,17.79795918367347,6
golf,1,10.03265306122449,6
maison saint agne,0,17.23469387755102,4
RSWL,0,9.79795918367347,6
maison cote pavee,0,17.516326530612243,6
maison cote pavee,1,17.32857142857143,3
maison saint agne,0,10.126530612244899,6
maison saint agne,0,9.0,6
maison saint agne,0,9.023469387755101,5
maison saint agne,1,9.140816326530611,1
maison cote pavee,1,18.03265306122449,1
RSWL,0,9.56326530612245,4
maison st cyp,0,17.09387755102041,1
RSWL,0,9.305102040816326,5
RSWL,1,9.492857142857144,5
maison saint agne,1,10.103061224489796,5
maison cote pavee,0,10.079591836734695,5
maison cote pavee,1,9.704081632653061,4
maison saint agne,0,9.23469387755102,2
maison st cyp,1,9.093877551020409,1
maison saint agne,0,17.14081632653061,5
RSWL,1,9.985714285714286,2
RSWL,1,9.375510204081634,4
