Pos,Wd_state,Time,Day
RSWL,0,10:01,1
RSWL,1,17:44,0
maison cote pavee,1,09:11,4
maison cote pavee,1,09:49,2
RSWL,1,17:56,1
maison cote pavee,1,09:21,6
maison cote pavee,1,18:02,1
maison st cyp,1,09:46,2
maison cote pavee,1,17:10,5
maison cote pavee,1,17:06,6
maison st cyp,1,09:48,2
RSWL,1,09:13,2
maison saint agne,1,09:52,3
RSWL,0,17:20,2
maison saint agne,1,17:37,6
maison cote pavee,1,09:44,0
maison cote pavee,0,17:58,4
maison cote pavee,1,18:09,1
maison st cyp,1,09:13,3
RSWL,1,09:31,2
RSWL,1,09:58,0
RSWL,0,10:01,4
maison cote pavee,0,17:20,1
RSWL,1,17:15,4
maison saint agne,1,09:41,4
maison st cyp,0,09:11,6
maison cote pavee,1,09:35,3
maison cote pavee,0,09:39,0
RSWL,1,09:55,3
RSWL,1,09:10,0
RSWL,1,17:24,0
RSWL,1,17:46,2
maison cote pavee,1,17:14,2
maison cote pavee,1,09:15,6
maison cote pavee,1,09:55,2
RSWL,1,09:38,3
maison saint agne,1,17:00,6
RSWL,1,09:18,2
maison saint agne,1,09:32,4
maison cote pavee,0,09:37,3
maison cote pavee,1,09:23,6
maison st cyp,0,09:14,6
maison cote pavee,1,10:02,3
RSWL,1,10:08,6
RSWL,1,17:51,6
maison saint agne,1,09:20,5
RSWL,1,17:55,1
maison cote pavee,1,17:31,6
maison saint agne,0,17:18,4
maison saint agne,1,09:55,4
maison saint agne,1,17:49,4
maison saint agne,1,18:06,0
maison cote pavee,1,17:08,4
maison cote pavee,0,09:55,4
RSWL,1,17:46,2
maison saint agne,1,17:59,3
maison saint agne,1,09:17,3
maison cote pavee,1,10:05,5
maison cote pavee,1,10:05,3
maison st cyp,1,09:27,2
maison cote pavee,1,17:37,2
maison st cyp,1,17:31,2
RSWL,1,17:23,6
RSWL,1,10:02,0
maison st cyp,1,09:38,2
maison cote pavee,1,17:58,3
maison st cyp,0,17:10,3
RSWL,1,09:54,3
RSWL,1,09:39,3
RSWL,1,09:41,0
maison cote pavee,1,18:03,3
RSWL,1,17:51,1
RSWL,1,17:23,5
RSWL,1,17:06,0
maison cote pavee,1,17:39,6
maison st cyp,1,17:07,5
maison st cyp,0,09:48,2
RSWL,0,09:27,6
RSWL,1,17:46,4
maison saint agne,0,10:06,4
maison saint agne,0,09:15,3
RSWL,1,17:07,4
RSWL,0,17:08,6
maison cote pavee,1,09:23,5
maison cote pavee,1,10:02,6
RSWL,1,10:01,4
maison saint agne,1,17:20,3
maison cote pavee,1,09:08,4
RSWL,1,09:04,1
RSWL,1,17:30,3
maison saint agne,1,10:05,1
maison st cyp,1,17:11,1
maison cote pavee,1,17:31,3
RSWL,1,17:51,0
maison cote pavee,1,09:18,2
RSWL,1,09:30,4
RSWL,1,17:35,3
maison st cyp,0,09:52,4
maison cote pavee,1,09:17,4
RSWL,1,17:45,2
