Pos,Wd_state,Time,Day
maison saint agne,0,09:35,1
RSWL,1,18:05,0
maison saint agne,1,18:08,4
RSWL,1,10:01,2
RSWL,1,10:05,1
maison saint agne,1,17:11,6
RSWL,1,17:27,1
maison cote pavee,1,17:08,2
RSWL,1,18:03,5
maison cote pavee,1,09:38,6
maison cote pavee,1,09:44,2
golf,1,09:00,2
maison saint agne,1,18:09,3
maison cote pavee,0,17:39,2
RSWL,1,17:51,6
RSWL,1,09:39,0
maison cote pavee,0,10:02,4
maison cote pavee,1,17:59,1
maison saint agne,1,09:08,3
maison cote pavee,1,17:25,2
golf,1,17:03,0
RSWL,0,09:42,4
maison cote pavee,0,17:30,1
maison saint agne,1,18:06,4
RSWL,1,17:37,4
RSWL,0,17:18,6
RSWL,1,09:21,3
maison st cyp,0,09:38,0
RSWL,1,09:44,3
RSWL,1,09:38,0
maison saint agne,1,09:39,0
RSWL,1,10:08,2
RSWL,1,17:48,2
RSWL,1,09:42,6
RSWL,1,18:02,2
maison cote pavee,1,09:48,3
maison cote pavee,1,09:31,6
maison st cyp,1,09:14,2
maison st cyp,1,17:23,4
maison cote pavee,0,17:46,3
RSWL,1,09:07,6
maison st cyp,0,18:09,6
RSWL,1,09:14,3
RSWL,1,09:08,6
RSWL,1,17:17,6
maison cote pavee,1,09:39,5
RSWL,1,09:07,1
maison st cyp,1,17:18,6
RSWL,0,09:06,4
maison saint agne,1,10:01,4
RSWL,1,09:34,4
RSWL,1,09:30,0
RSWL,1,09:08,4
maison st cyp,0,09:55,4
RSWL,1,18:06,2
RSWL,1,17:34,3
RSWL,1,09:28,3
RSWL,1,17:23,5
maison cote pavee,1,17:58,3
golf,1,09:30,2
RSWL,1,09:18,2
maison cote pavee,1,17:48,2
maison saint agne,1,09:39,6
RSWL,1,09:30,0
maison st cyp,1,09:13,2
maison st cyp,1,09:56,3
RSWL,0,17:54,3
RSWL,1,09:23,3
maison cote pavee,1,17:31,3
maison st cyp,1,09:59,0
maison saint agne,1,18:02,3
RSWL,1,09:23,1
RSWL,1,17:37,5
RSWL,1,17:08,0
maison saint agne,1,09:18,6
maison st cyp,1,09:07,5
maison st cyp,0,09:59,2
RSWL,0,09:18,6
golf,1,09:30,4
RSWL,0,17:42,4
RSWL,0,09:14,3
RSWL,1,17:15,4
maison cote pavee,0,18:01,6
maison cote pavee,1,10:09,5
RSWL,1,10:08,6
maison cote pavee,1,17:37,4
RSWL,1,09:06,3
RSWL,1,09:18,4
RSWL,1,17:30,1
maison saint agne,1,18:08,3
maison cote pavee,1,17:52,1
maison cote pavee,1,09:41,1
maison cote pavee,1,09:04,3
maison st cyp,1,09:17,0
maison saint agne,1,17:38,2
maison cote pavee,1,17:23,4
RSWL,1,10:02,3
maison st cyp,0,09:44,4
RSWL,1,17:37,4
maison st cyp,1,17:07,2
