Pos,Wd_state,Time,Day
maison st cyp,0,10:01,1
maison saint agne,1,09:31,0
maison st cyp,1,09:00,4
maison st cyp,1,17:10,2
maison st cyp,1,17:59,1
RSWL,1,17:21,6
RSWL,1,09:39,1
maison st cyp,1,17:00,2
maison cote pavee,1,09:18,5
RSWL,1,17:21,6
maison st cyp,1,09:20,2
maison saint agne,1,09:18,2
maison saint agne,1,17:27,3
RSWL,0,17:52,2
RSWL,1,09:37,6
maison cote pavee,1,09:23,0
maison saint agne,0,09:54,4
maison st cyp,1,18:02,1
RSWL,1,09:37,3
maison st cyp,1,17:00,2
maison saint agne,1,17:23,0
RSWL,0,17:44,4
maison cote pavee,0,17:52,1
maison cote pavee,1,17:17,4
RSWL,1,10:05,4
RSWL,0,17:21,6
RSWL,1,09:24,3
maison st cyp,0,09:41,0
maison cote pavee,1,17:14,3
maison st cyp,1,09:04,0
RSWL,1,18:03,0
RSWL,1,09:42,2
RSWL,1,17:28,2
RSWL,1,18:01,6
RSWL,1,09:48,2
RSWL,1,17:08,3
maison cote pavee,1,17:48,6
RSWL,1,17:23,2
maison cote pavee,1,10:06,4
maison saint agne,0,17:55,3
golf,1,10:01,6
maison st cyp,0,17:27,6
maison saint agne,1,09:31,3
RSWL,1,17:32,6
RSWL,1,09:34,6
RSWL,1,17:28,5
maison saint agne,1,09:41,1
maison cote pavee,1,17:27,6
maison cote pavee,0,17:06,4
maison saint agne,1,17:52,4
maison saint agne,1,17:24,4
maison cote pavee,1,09:17,0
maison saint agne,1,17:55,4
maison st cyp,0,17:10,4
RSWL,1,17:01,2
maison saint agne,1,09:55,3
RSWL,1,09:56,3
RSWL,1,09:39,5
maison st cyp,1,09:59,3
maison st cyp,1,17:14,2
maison cote pavee,1,09:01,2
RSWL,1,17:38,2
RSWL,1,09:27,6
RSWL,1,09:10,0
RSWL,1,09:41,2
maison saint agne,1,09:30,3
maison cote pavee,0,17:01,3
maison st cyp,1,17:00,3
RSWL,1,09:54,3
RSWL,1,17:34,0
RSWL,1,17:18,3
RSWL,1,17:42,1
maison st cyp,1,17:07,5
maison saint agne,1,09:21,0
maison saint agne,1,17:25,6
golf,1,09:17,5
RSWL,0,10:03,2
maison st cyp,0,09:11,6
maison saint agne,1,17:59,4
RSWL,0,09:49,4
maison saint agne,0,18:01,3
RSWL,1,17:48,4
RSWL,0,17:24,6
maison cote pavee,1,17:11,5
maison saint agne,1,09:21,6
maison saint agne,1,17:14,4
maison st cyp,1,09:11,3
RSWL,1,17:06,4
maison cote pavee,1,09:42,1
maison cote pavee,1,17:13,3
RSWL,1,18:09,1
RSWL,1,17:20,1
maison saint agne,1,09:13,3
maison st cyp,1,10:05,0
maison saint agne,1,10:03,2
maison cote pavee,1,10:01,4
maison cote pavee,1,09:49,3
maison cote pavee,0,09:52,4
maison st cyp,1,09:41,4
RSWL,1,09:18,2
