Pos,Wd_state,Time,Day
RSWL,0,17:31,1
maison saint agne,1,18:02,0
maison st cyp,1,10:08,4
maison saint agne,1,17:49,2
maison cote pavee,1,17:17,1
maison saint agne,1,09:17,6
RSWL,1,09:27,1
maison saint agne,1,09:24,2
maison saint agne,1,17:48,5
maison cote pavee,1,17:13,6
maison saint agne,1,17:37,2
RSWL,1,18:09,2
RSWL,1,18:08,3
RSWL,0,09:30,2
RSWL,1,09:58,6
maison saint agne,1,17:04,0
RSWL,0,09:51,4
maison cote pavee,1,18:02,1
RSWL,1,17:56,3
maison cote pavee,1,17:20,2
RSWL,1,09:46,0
maison saint agne,0,17:32,4
maison cote pavee,0,10:09,1
maison st cyp,1,17:28,4
maison saint agne,1,09:58,4
maison st cyp,0,09:14,6
RSWL,1,09:21,3
maison saint agne,0,09:34,0
maison st cyp,1,09:49,3
RSWL,1,09:44,0
maison cote pavee,1,09:08,0
maison cote pavee,1,17:49,2
maison saint agne,1,17:45,2
RSWL,1,09:00,6
RSWL,1,17:42,2
maison saint agne,1,09:15,3
golf,1,17:38,6
maison saint agne,1,09:35,2
RSWL,1,10:03,4
maison st cyp,0,09:59,3
maison cote pavee,1,09:59,6
maison cote pavee,0,10:08,6
maison saint agne,1,10:03,3
maison saint agne,1,09:54,6
maison cote pavee,1,17:39,6
maison cote pavee,1,18:03,5
RSWL,1,17:44,1
RSWL,1,17:42,6
golf,0,18:09,4
maison cote pavee,1,17:46,4
maison saint agne,1,17:21,4
maison cote pavee,1,10:08,0
RSWL,1,09:55,4
RSWL,0,18:06,4
maison cote pavee,1,10:08,2
maison cote pavee,1,09:07,3
maison st cyp,1,17:13,3
maison saint agne,1,09:15,5
maison st cyp,1,17:24,3
RSWL,1,09:31,2
RSWL,1,17:41,2
RSWL,1,09:39,2
RSWL,1,09:25,6
maison cote pavee,1,17:39,0
RSWL,1,09:20,2
RSWL,1,17:48,3
maison st cyp,0,09:23,3
maison cote pavee,1,17:15,3
RSWL,1,17:59,3
maison st cyp,1,10:09,0
RSWL,1,09:45,3
maison saint agne,1,18:08,1
maison st cyp,1,17:07,5
maison cote pavee,1,09:08,0
RSWL,1,09:49,6
maison saint agne,1,17:51,5
RSWL,0,17:30,2
maison saint agne,0,09:01,6
maison cote pavee,1,09:31,4
maison st cyp,0,09:55,4
maison st cyp,0,09:11,3
maison saint agne,1,09:25,4
RSWL,0,17:21,6
golf,1,17:38,5
RSWL,1,17:31,6
RSWL,1,18:01,4
maison cote pavee,1,09:42,3
RSWL,1,18:03,4
maison st cyp,1,09:39,1
maison st cyp,1,17:32,3
maison cote pavee,1,09:00,1
maison saint agne,1,09:08,1
maison st cyp,1,17:34,3
maison cote pavee,1,17:39,0
golf,1,09:00,2
RSWL,1,09:54,4
maison saint agne,1,17:11,3
maison saint agne,0,18:08,4
maison st cyp,1,17:14,4
golf,1,09:00,2
