Pos,Wd_state,Time,Day
maison st cyp,0,17:55,1
maison saint agne,1,17:13,0
maison st cyp,1,09:23,4
maison saint agne,1,17:24,2
RSWL,1,09:41,1
maison st cyp,1,17:30,6
maison st cyp,1,09:56,1
maison st cyp,1,17:48,2
RSWL,1,17:01,5
RSWL,1,09:59,6
maison st cyp,1,09:59,2
maison cote pavee,1,10:08,2
RSWL,1,09:18,3
RSWL,0,17:31,2
maison saint agne,1,09:38,6
RSWL,1,18:02,0
maison saint agne,0,18:08,4
golf,1,09:52,1
maison saint agne,1,09:54,3
maison cote pavee,1,09:34,2
RSWL,1,17:32,0
RSWL,0,09:37,4
maison st cyp,0,09:48,1
maison saint agne,1,09:10,4
maison st cyp,1,09:34,4
maison saint agne,0,09:52,6
maison st cyp,1,09:45,3
RSWL,0,10:09,0
RSWL,1,09:52,3
maison cote pavee,1,09:52,0
maison saint agne,1,09:46,0
maison st cyp,1,10:08,2
maison st cyp,1,17:31,2
maison st cyp,1,09:37,6
maison saint agne,1,18:03,2
maison saint agne,1,17:38,3
maison saint agne,1,17:21,6
RSWL,1,09:44,2
golf,1,09:10,4
maison saint agne,0,17:14,3
maison saint agne,1,09:35,6
RSWL,0,09:08,6
maison cote pavee,1,17:04,3
maison cote pavee,1,17:39,6
maison cote pavee,1,17:42,6
maison st cyp,1,17:45,5
RSWL,1,17:39,1
RSWL,1,17:48,6
maison saint agne,0,09:00,4
RSWL,1,09:00,4
maison saint agne,1,09:04,4
maison saint agne,1,17:30,0
RSWL,1,17:44,4
maison saint agne,0,09:52,4
RSWL,1,17:07,2
maison st cyp,1,17:03,3
RSWL,1,09:17,3
RSWL,1,10:08,5
maison saint agne,1,09:28,3
maison cote pavee,1,17:07,2
maison cote pavee,1,09:21,2
maison st cyp,1,17:30,2
maison saint agne,1,17:13,6
maison cote pavee,1,17:39,0
RSWL,1,09:38,2
maison st cyp,1,17:58,3
maison cote pavee,0,09:41,3
RSWL,1,09:00,3
golf,1,10:05,3
RSWL,1,17:18,0
maison st cyp,1,09:15,3
maison cote pavee,1,09:59,1
maison saint agne,1,09:23,5
maison saint agne,1,10:06,0
maison saint agne,1,09:28,6
RSWL,1,17:03,5
RSWL,0,09:48,2
golf,0,10:03,6
RSWL,1,17:06,4
maison cote pavee,0,17:31,4
RSWL,0,17:17,3
maison st cyp,1,17:54,4
maison saint agne,0,09:23,6
maison cote pavee,1,09:24,5
RSWL,1,17:34,6
maison st cyp,1,09:25,4
maison saint agne,1,17:42,3
RSWL,1,10:01,4
maison cote pavee,1,09:51,1
maison saint agne,1,09:04,3
maison saint agne,1,17:25,1
maison saint agne,1,17:51,1
maison saint agne,1,10:01,3
RSWL,1,17:54,0
RSWL,1,09:28,2
maison cote pavee,1,09:18,4
RSWL,1,17:27,3
maison cote pavee,0,09:59,4
RSWL,1,09:32,4
maison saint agne,1,09:14,2
