Pos,Wd_state,Time
maison saint agne,0,17.70408163265306
maison saint agne,1,18.05612244897959
RSWL,0,9.305102040816326
maison st cyp,1,17.445918367346938
RSWL,0,9.56326530612245
maison cote pavee,0,9.46938775510204
RSWL,1,17.09387755102041
RSWL,1,18.15
maison saint agne,1,17.96224489795918
maison st cyp,0,10.079591836734695
maison saint agne,1,18.15
maison saint agne,1,17.93877551020408
maison cote pavee,1,17.14081632653061
RSWL,0,9.844897959183674
maison st cyp,0,10.15
RSWL,0,10.056122448979592
maison cote pavee,0,17.187755102040818
maison st cyp,1,9.44591836734694
RSWL,0,9.11734693877551
maison st cyp,0,9.58673469387755
RSWL,1,9.070408163265306
RSWL,1,17.11734693877551
RSWL,0,9.258163265306123
RSWL,0,9.516326530612245
maison st cyp,1,9.844897959183674
maison cote pavee,0,17.79795918367347
maison st cyp,1,17.844897959183672
RSWL,1,9.070408163265306
maison st cyp,0,9.281632653061225
RSWL,0,17.375510204081632
RSWL,0,9.91530612244898
RSWL,0,17.0
maison st cyp,1,17.844897959183672
maison st cyp,0,17.844897959183672
maison saint agne,1,17.91530612244898
maison cote pavee,1,9.492857142857144
RSWL,1,9.305102040816326
maison st cyp,0,10.103061224489796
maison saint agne,1,9.44591836734694
maison saint agne,1,9.821428571428571
maison cote pavee,1,18.079591836734693
maison st cyp,1,9.211224489795919
maison saint agne,1,9.35204081632653
RSWL,0,9.938775510204081
golf,1,9.046938775510204
maison cote pavee,1,9.258163265306123
maison saint agne,1,9.891836734693879
maison cote pavee,0,17.93877551020408
maison cote pavee,0,17.187755102040818
maison cote pavee,1,17.305102040816326
golf,0,10.079591836734695
RSWL,0,17.281632653061223
RSWL,1,9.539795918367346
maison cote pavee,1,9.32857142857143
maison cote pavee,0,9.610204081632654
RSWL,1,17.58673469387755
maison st cyp,1,9.281632653061225
RSWL,0,9.281632653061225
maison st cyp,1,9.868367346938776
maison st cyp,1,9.539795918367346
RSWL,1,17.985714285714284
maison saint agne,0,10.079591836734695
golf,1,17.868367346938776
maison cote pavee,0,9.610204081632654
RSWL,1,17.0
RSWL,1,17.070408163265306
maison saint agne,0,17.610204081632652
maison st cyp,1,17.375510204081632
RSWL,1,17.46938775510204
RSWL,1,17.070408163265306
maison cote pavee,0,9.751020408163265
maison saint agne,0,18.103061224489796
maison cote pavee,1,9.375510204081634
RSWL,0,17.492857142857144
RSWL,0,17.164285714285715
RSWL,1,9.093877551020409
RSWL,0,10.103061224489796
golf,1,17.58673469387755
golf,1,17.70408163265306
RSWL,0,9.68061224489796
maison saint agne,1,9.821428571428571
RSWL,1,9.68061224489796
RSWL,1,9.891836734693879
maison cote pavee,0,17.774489795918367
RSWL,1,17.187755102040818
maison saint agne,1,17.422448979591834
RSWL,0,17.56326530612245
RSWL,1,17.164285714285715
RSWL,0,9.093877551020409
RSWL,0,9.985714285714286
maison cote pavee,1,17.070408163265306
maison st cyp,1,17.445918367346938
maison cote pavee,0,9.79795918367347
maison saint agne,0,9.539795918367346
maison st cyp,0,17.93877551020408
RSWL,1,10.009183673469387
maison cote pavee,1,9.633673469387755
maison st cyp,1,17.14081632653061
maison cote pavee,0,9.751020408163265
maison cote pavee,1,17.844897959183672
